,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
0,PHC Astgaon,Astgaon,Gavthan,Near New English School,Rahata,423107.0,2423245585,19.671119,74.50299,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
1,PHC Dadh Bk,Dadh Bk,Ashwi Road,Near Mahatma Phule Jr. Collage,,413714.0,2422270031,19.524707,74.418898,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
2,PHC Dorhale,Primary Health Center,Dorhale,Near Jape Vasti,Pohegaon Road,423604.0,,19.761988,74.426923,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
3,PHC Kolhar Bk,Primary Health Center,Gavthan,Bhagwati Mata Mandir Road,,413710.0,2422250259,19.539133,74.53401099999999,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
4,PHC Savalivihir Bk,Primary Health Center,Gavthan,Rui Road,Near High School,423109.0,2423251210,19.802984,74.47027,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
5,PHC Wakadi,Primary Health Center,Gavthan,Shrirampur Road,,413719.0,2422256300,19.684575,74.576411,0.0,Primary Health Centre,Maharashtra,Ahmadnagar,Rahta,Rahata
6,RH Rahata,Rural Hospital Rahata,Nagar Manmad Highway,,,423107.0,2423242212,19.707969,74.47999300000001,0.0,Community Health Center,Maharashtra,Ahmadnagar,Rahta,Rahata
7,RH Loni,Rural Hospital Loni,Songaon Road,Near Mhasoba Mandir,,413736.0,2422273449,19.576612,74.467664,0.0,Community Health Center,Maharashtra,Ahmadnagar,Rahta,Rahata
8,RH Puntamba,Rural Hospital Puntamba,Gavthan,Near Sant Goroba Temple,,413707.0,2422274016,19.766435,74.616186,0.0,Community Health Center,Maharashtra,Ahmadnagar,Rahta,Rahata
9,Kasola,Primary Health Centre Kasola,Kasola,Zillha Parishad School,Mangrulpir,444403.0,,20.215253,77.294533,0.0,Primary Health Centre,Maharashtra,Washim *,Mangrulpir,Mangrulpir
10,PHC Ambada,Primary Health Centre Ambada,Ambada,PHC AMBADA,PHC AMBADA,444905.0,07228 234023,21.3353283,78.28391859999999,366.0,Primary Health Centre,Maharashtra,Amravati,Morshi,Morshi
11,DHADHARE,SubCenter,"AT- DHADHARE, POST- SONALE, TAL- WADA",NEAR ZP SCHOOL,DHADHARE,421303.0,,19.669871399999998,73.253378,190.0,SubCentre,Maharashtra,Palghar,Vada,\N
12,Subcentre Astgaon,Subcentre Astgaon,Gavthan,Near High School,,423104.0,,20.316926000000002,74.49,0.0,SubCentre,Maharashtra,Ahmadnagar,Rahta,Rahata
13,Subcentre Rajuri,Subcentre Rajuri,Gavthan,Near High School,,413737.0,,19.62377,74.540584,0.0,SubCentre,Maharashtra,Ahmadnagar,Rahta,Rahata
14,RH Soundad,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,National Highwe 6,On Road,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,441806.0,7182270449,21.071121899999998,80.088959,256.0,Community Health Center,Maharashtra,Gondiya *,Sadak-Arjuni,Sadak Arjuni
15,RH Soundad,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,NH 6,At.Post.Soundad Tah.Sadak Arjuni Dist.Gondia,441806.0,7182270449,21.071121899999998,80.088959,213.0,Community Health Center,Maharashtra,Gondiya *,Sadak-Arjuni,Sadak Arjuni
16,GAIKWAD JALGAON,SUBCENTER GAIKWAD JALGAON,GAVTHAN,NEAR MANDIR,,414504.0,9921822237,19.312945000000003,75.533066,0.0,SubCentre,Maharashtra,Ahmadnagar,Shevgaon,Shevgaon
17,Kothari,Primary Health Centre Kothari,Arvi Road,Near Bus Stop,Ballarpur,442701.0,07172-244139,19.790994,79.495547,0.0,Primary Health Centre,Maharashtra,Chandrapur,Ballarpur,Ballarpur
18,RH Soundad,,,,,,,0.0,0.0,0.0,Community Health Center,Maharashtra,Gondiya *,\N,\N
19,Kothari,Sub Centre Kothari,Arvi Road,Near Bus Stop,Ballarpur,442701.0,,19.790994,79.495547,0.0,SubCentre,Maharashtra,Chandrapur,Ballarpur,Ballarpur
20,Palasgaon,Sub Centre Palasgaon,Enbodi Road,Near Zilla Parishad School,Ballarpur,442701.0,,19.804632,79.462282,0.0,SubCentre,Maharashtra,Chandrapur,Ballarpur,Ballarpur
21,Manora,Sub Centre Manora,Kavadasi Road,"In front of Grampanchayat, Manora",Ballarpur,442701.0,,19.865994,79.49180799999999,0.0,SubCentre,Maharashtra,Chandrapur,Ballarpur,Ballarpur
22,"District Hospital, Nanded",Infront of Waghala Muncipal Nanded,Vazirabad,Near Shivaji Maharaj Statue,Nanded,431601.0,02462-245516,19.154756,77.311493,0.0,District Hospital,Maharashtra,Nanded,Nanded,Nanded
23,cottage hospital Neknoor,cottage hospital Neknoor,Kaij Road Neknoor,,Kaij Road Neknoor,431125.0,02442-250016,18.8067164,75.7807525,0.0,Community Health Center,Maharashtra,Beed,Bid,Bid
24,VVMC Moregaon Talav,UPHC Moregaon Talav,Virar Moregaon Raod,Moregaon Talav,Moregaon,401209.0,,19.4333064,72.82305140000001,19.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
25,VVMC Bolinj,UPHC  Bolinj,Virar Garden,: Talathi Office,Virar Garden,401303.0,,19.444074,72.79983100000001,0.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
26,VVMC Zalawad,UPHC  ZALAWAD,"ZALAWAD PARK, URBAN PRIMARY  HEALTH CENTER, GROUND FLOOR.","JAYA PALACE HOTEL, ZALAWAD GARDEN","SANYUKTA NAGAR, NALASOPARA EAST",401209.0,,19.413320199999998,72.824735,19.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
27,VVMC Naringi,UPHC Naringi Park & Urban Primary Health Center,Naringi By-pass Rd. Virar (East),opposite Hotel Rainbow Palace,Naringi By-pass Rd. Virar (East),401305.0,,19.474314399999997,72.8144829,17.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
28,VVMC Ranale Talao,UPHC Ranale Talao,Manvel Pada,Ranale Talao,"Manvel pada, Bhushan Hospital",401303.0,,19.448928600000002,72.81767559999999,20.0,Post Partum Unit,Maharashtra,Palghar,\N,\N
29,VVMC Sarvoday vasahat,UPHC Sarvodaya Vasahat,Taki Road,Near vvcmc Water Tank,"Tulinj ,Taki Road",401209.0,,19.4224517,72.819722,18.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
30,VVMC Patankar park,Patankar Park,Chakradhar Nagar,"Ryan international school, Hari Hareshwar Mandir",Nallasopara west,401203.0,,19.419325100000002,72.8109184,19.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
31,VVMC Barhampur,Barampur west urban Primary Health Center,Barampur west Rd,Near Sai Baba Temple,"Hum Panch Wadi, Barampur, Vasai West",401102.0,,19.3659578,72.8153033,18.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
32,VVMC Bilalpada,Bilalpada Urban Primary Health Center,"Nallasopara - High way Road, Bilalpada",Near Shri Ram Mandir,Bilalpada  Nallasopara (e),401208.0,,19.4267082,72.8440229,17.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
33,VVMC Navghar Vasai,Vasai Industrial OPD,Navghar (East),near Onida company,Navghar East,401210.0,,19.3492218,72.9110974,16.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
34,UCHC Vijaynagar Tulinj Municipal Hospital,Vijaynagar Tulinj Municipal Hospital,Tulinj Road,opp.sitara bekary,NALLASOPARA(E),401409.0,,19.423448399999998,72.8265995,18.0,Urban Health Posts,Maharashtra,Palghar,\N,\N
35,VVMC Vijay Nagar Tulinj Hospital,Vijaynagar Tulinj Municipal Hospital,Tulinj Road,opp.sitara bekary,NALLASOPARA(E),401409.0,,19.423448399999998,72.8265995,18.0,Community Health Center,Maharashtra,Palghar,Vasai,\N
36,VVMC Sativali,UPHC Sativali urban primary health center,"Sativali ,  vasai (E)",in front Of Shivsena office,"Sativali,  vasai (E)",401208.0,,19.4069099,72.8663021,19.0,Urban Health Posts,Maharashtra,Palghar,Vasai,\N
37,Borgaon,Borgaon Sub Center,"at post Borgaon,","Tq Jafrabad ,dist Jalna.431206",Borgaon,431206.0,,20.07441205,75.93766193,0.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
38,Janefal,Janefal subcenter,"at post Janefal,","Tq Jafrabad ,dist Jalna.431206",Janefal,431206.0,,20.26071498,75.98738871,502.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
39,Yeota,Yeota Sub Center,"Yeota,","Tq Jafrabad ,dist Jalna.431206",Yeota,431206.0,,0.0,0.0,0.0,SubCentre,Maharashtra,Jalna,Jafferabad,Jafrabad
